"variable_name","variable_from","variable_accession","identifiable","variable_description"
"nadir_desat_sleep_sleep","hvr","phv00232",FALSE,"Nadir saturation during sleep"
"spo2below90p_sleep_prct_sleep","hvr","phv00233",FALSE,"Percentage spent below 90% SpO2 in seconds"
"spo2below88p_sleep_prct_sleep","hvr","phv00234",FALSE,"Percentage spent below 88% SpO2 in seconds"
"spo2below85p_sleep_prct_sleep","hvr","phv00235",FALSE,"Percentage spent below 85% SpO2 in seconds"
"spo2below80p_sleep_prct_sleep","hvr","phv00236",FALSE,"Percentage spent below 80% SpO2 in seconds"
"spo2mean_sleep_sleep","hvr","phv00186",FALSE,"Mean saturation during sleep"
"odi_sleep_sleep","hvr","phv00237",FALSE,"Oxygen desaturation index during sleep"
"abpm_sbp_24h","hvr","phv00078",FALSE,"24-hour systolic blood pressure"
"abpm_dbp_24h","hvr","phv00079",FALSE,"24-hour diastolic blood pressure"
"abpm_map_24h","hvr","phv00238",FALSE,"24-hour mean arterial pressure"
"abpm_sbp_vig","hvr","phv00239",FALSE,NA
"abpm_dbp_vig","hvr","phv00240",FALSE,NA
"abpm_map_vig","hvr","phv00241",FALSE,NA
"abpm_sbp_sleep","hvr","phv00242",FALSE,"Systolic blood pressure during sleep"
"abpm_dbp_sleep","hvr","phv00243",FALSE,"Diastolic blood pressure during sleep"
"abpm_map_sleep","hvr","phv00244",FALSE,"Mean arterial blood pressure during sleep"
"abpm_conventional_sbp","hvr","phv00245",FALSE,NA
"abpm_conventional_dbp","hvr","phv00246",FALSE,NA
"genotyping_initials","genotype","phv00001",TRUE,"Initials of the genotype file"
"NOTCH1_rs61751489T","genotype","phg00001",FALSE,"Number of alleles of NOTCH1 rs61751489T"
"PPARG_rs4684847T","genotype","phg00002",FALSE,"Number of alleles of PPARG rs4684847T"
"ICAM1_rs1799969G","genotype","phg00003",FALSE,"Number of alleles of ICAM1 rs1799969G"
"PRKAA1_rs59133000T","genotype","phg00004",FALSE,"Number of alleles of PRKAA1 rs59133000T"
"PRKAA1_rs3805490T","genotype","phg00005",FALSE,"Number of alleles of PRKAA1 rs3805490T"
"F5_rs6018T","genotype","phg00006",FALSE,"Number of alleles of F5 rs6018T"
"EPAS1_rs4953354G","genotype","phg00007",FALSE,"Number of alleles of EPAS1 rs4953354G"
"PPARGC1A_rs3736265A","genotype","phg00008",FALSE,"Number of alleles of PPARGC1A rs3736265A"
"PPARG_rs1801282G","genotype","phg00009",FALSE,"Number of alleles of PPARG rs1801282G"
"NOS3_rs7830G","genotype","phg00010",FALSE,"Number of alleles of NOS3 rs7830G"
"EGLN1_rs1769793T","genotype","phg00011",FALSE,"Number of alleles of EGLN1 rs1769793T"
"ADRA1A_rs1048101G","genotype","phg00012",FALSE,"Number of alleles of ADRA1A rs1048101G"
"ADRA1A_rs2229125C","genotype","phg00013",FALSE,"Number of alleles of ADRA1A rs2229125C"
"EPAS1_rs570553380G","genotype","phg00014",FALSE,"Number of alleles of EPAS1 rs570553380G"
